country,year,Happiness,Ladder,males_a
Afghanistan,2016,3.632,4.220168591,0.4000
Albania,2016,4.586,4.511100769,12.5000
Algeria,2016,5.295,5.388170719,1.6000
Angola,2014,3.795,3.794837952,10.7000
Argentina,2016,6.388,6.427221298,16.1000
Armenia,2016,4.321,4.325471878,10.4000
Australia,2016,7.272,7.250080109,16.7000
Austria,2016,7.139,7.048071861,18.5000
Azerbaijan,2016,5.201,5.303894997,1.5000
Bahrain,2016,6.105,6.169673443,2.8000
Bangladesh,2016,4.5,4.5561409,18.0000
Belarus,2016,5.483,5.177899361,16.6000
Belgium,2016,6.927,6.948936462,19.4000
Belize,2014,5.956,5.955646515,11.4000
Benin,2016,4.141,4.007357597,5.3000
Bhutan,2016,5.082,5.082128525,0.9000
Bolivia,2016,5.752,5.769723415,8.0000
Bosnia and Herzegovina,2016,5.129,5.180865288,10.9000
Botswana,2016,3.59,3.498936653,14.4000
Brazil,2016,6.419,6.374817371,13.4000
Bulgaria,2016,4.933,4.837560654,21.0000
Burkina Faso,2016,4.424,4.205634594,14.2000
Burundi,2016,2.905,2.904535055,13.0000
Cambodia,2016,4.433,4.461259365,11.9000
Cameroon,2016,4.975,4.816232204,15.2000
Canada,2016,7.328,7.244845867,14.6000
Central African Republic,2016,3.083,2.693061113,5.7000
Chad,2016,4.301,4.029350281,2.7000
Chile,2016,6.476,6.579056263,15.0000
China,2016,5.246,5.32495594,11.7000
Colombia,2016,6.26,6.233715057,10.1000
Congo (Brazzaville),2016,4.559,4.119493484,12.9000
Congo (Kinshasa),2016,4.245,4.521935463,4.4000
Costa Rica,2016,7.072,7.135617733,8.1000
Croatia,2016,5.321,5.205438137,15.1000
Cyprus,2016,5.762,5.794618607,10.2000
Czech Republic,2016,6.711,6.735627174,17.1000
Denmark,2016,7.555,7.55778265,23.2000
Dominican Republic,2016,5.302,5.238698483,16.5000
Ecuador,2016,5.973,6.115437508,11.6000
Egypt,2016,4.419,4.556740761,7.4000
El Salvador,2016,6.167,6.139824867,0.7000
Estonia,2016,5.739,5.649675369,6.9000
Ethiopia,2016,4.35,4.297848701,19.4000
Finland,2016,7.632,7.659843445,5.0000
France,2016,6.489,6.475208759,17.2000
Gabon,2016,4.758,4.831764221,20.3000
Georgia,2016,4.34,4.448386192,18.1000
Germany,2005,6.965,6.873763084,6.6000
Ghana,2016,4.657,4.514411449,17.7000
Greece,2016,5.58,5.302619457,21.3000
Guatemala,2016,6.382,6.358916283,4.6000
Guinea,2016,3.964,3.602854729,15.4000
Haiti,2016,3.582,3.352300167,17.2000
Honduras,2016,5.504,5.648154736,4.3000
Hong Kong,2016,5.43,5.498420715,2.2000
Hungary,2016,5.62,5.448901653,10.0000
Iceland,2016,7.495,7.510034561,6.9000
India,2016,4.19,4.179177284,19.1000
Indonesia,2016,5.093,5.136325359,14.5000
Iran,2016,4.707,4.652730942,9.4000
Iraq,2016,4.456,4.412537098,1.4000
Ireland,2016,6.977,7.04073143,1.9000
Israel,2016,7.191,7.159010887,0.7000
Italy,2016,6.001,5.95452404,20.3000
Ivory Coast,2016,4.671,4.542545795,6.4000
Jamaica,2016,5.891,5.310538769,12.5000
Japan,2016,5.915,5.954650879,7.1000
Jordan,2016,5.161,5.27128458,13.5000
Kazakhstan,2016,5.791,5.533551693,1.3000
Kenya,2016,4.411,4.396127701,13.6000
Kosovo,2016,5.662,5.759412289,5.8000
Kuwait,2016,6.083,5.947194576,13.5000
Kyrgyzstan,2016,5.131,4.856534004,13.6000
Laos,2012,4.623,4.876084805,17.6000
Latvia,2016,5.933,5.940446377,21.7000
Lebanon,2016,5.358,5.27072382,2.7000
Lesotho,2016,3.808,3.808204889,8.9000
Liberia,2016,3.495,3.354676008,9.9000
Libya,2016,5.566,5.43358326,24.9000
Lithuania,2016,5.952,5.865552425,19.6000
Luxembourg,2016,6.911,6.967340946,13.5000
Macedonia,2016,5.185,5.34574604,3.4000
Madagascar,2016,3.774,3.663085938,6.4000
Malawi,2016,3.587,3.476492643,1.6000
Malaysia,2016,6.322,6.322121143,4.8000
Mali,2016,4.447,4.016027927,2.2000
Malta,2016,6.627,6.590842247,13.2000
Mauritius,2016,5.891,5.610003471,0.1000
Mexico,2016,6.488,6.824172974,11.1000
Moldova,2016,5.641,5.577784061,25.2000
Mongolia,2016,5.125,5.056999683,12.8000
Mozambique,2015,4.417,4.549767494,13.5000
Myanmar,2016,4.308,4.623119831,1.1000
Namibia,2014,4.441,4.573991299,4.3000
Nepal,2016,4.881,5.099539757,8.4000
Netherlands,2016,7.441,7.540877342,17.3000
New Zealand,2016,7.324,7.225687981,7.7000
Nicaragua,2016,6.141,6.012739658,13.9000
Niger,2016,4.166,4.234645844,17.2000
Nigeria,2016,5.155,5.219567776,9.1000
North Cyprus,2016,5.835,5.827127934,0.9000
Norway,2016,7.594,7.596331596,21.9000
Pakistan,2016,5.472,5.548508167,17.1000
Palestinian Territories,2016,4.743,4.906618118,6.7000
Panama,2016,6.431,6.117638111,11.6000
Paraguay,2016,5.681,5.801380157,0.5000
Peru,2016,5.663,5.700628757,13.2000
Philippines,2016,5.524,5.430832863,2.0000
Poland,2016,6.123,6.162076473,12.2000
Portugal,2016,5.411,5.446637154,10.4000
Qatar,2015,6.374,6.374529362,11.3000
Romania,2016,5.945,5.96887064,19.2000
Russia,2016,5.811,5.85494566,20.5000
Rwanda,2016,3.408,3.332989931,2.5000
Saudi Arabia,2016,6.371,6.473921299,1.0000
Senegal,2016,4.631,4.59453392,21.0000
Serbia,2016,5.398,5.752754688,21.0000
Sierra Leone,2016,4.571,4.732953072,16.0000
Singapore,2016,6.343,6.033480644,4.3000
Slovakia,2016,6.173,5.993163109,0.3000
Slovenia,2016,5.948,5.936821461,1.3000
Somalia,2016,4.982,4.667941093,18.5000
South Africa,2016,4.724,4.769739628,19.7000
South Korea,2016,5.875,5.970564365,9.8000
South Sudan,2016,3.254,2.888112307,3.3000
Spain,2016,6.311,6.318612099,18.9000
Sri Lanka,2015,4.471,4.611606598,20.4000
Sudan,2014,4.139,4.138672829,7.2000
Sweden,2016,7.314,7.368744373,16.2000
Switzerland,2016,7.487,7.458519936,16.7000
Syria,2015,3.462,3.46191287,16.4000
Taiwan,2016,6.441,6.512850761,7.7000
Tajikistan,2016,5.199,5.103721142,0.9000
Tanzania,2016,3.303,2.90273428,14.6000
Thailand,2016,6.072,6.07363987,18.1000
Togo,2016,3.999,3.878578424,0.6000
Trinidad and Tobago,2013,6.192,6.167706966,11.6000
Tunisia,2016,4.592,4.521453381,5.7000
Turkey,2016,5.483,5.326221943,16.0000
Turkmenistan,2016,5.636,5.887051582,14.3000
Uganda,2016,4.161,4.233261108,5.4000
Ukraine,2016,4.103,4.028690338,13.9000
United Arab Emirates,2016,6.774,6.83095026,3.6000
United Kingdom,2016,6.814,6.8242836,3.7000
United States,2016,6.886,6.803599834,9.5000
Uruguay,2016,6.379,6.171485424,6.1000
Uzbekistan,2016,6.096,5.892539024,14.1000
Venezuela,2016,4.806,4.041114807,4.8000
Vietnam,2016,5.103,5.062267303,18.4000
Yemen,2016,3.355,3.825630903,15.8000
Zambia,2016,4.377,4.347543716,17.8000
Zimbabwe,2016,3.692,3.7354002,4.8000
